,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
212,P1,25/02/18,Chaves,Estoril,2,0,H,1,0,H,6,12,4,3,12,13,7,10,2,3,0,0
213,P1,25/02/18,Portimonense,Porto,1,5,A,0,3,A,9,7,5,6,23,19,1,4,1,0,0,0
214,P1,26/02/18,Sp Braga,Tondela,1,0,H,0,0,D,16,6,11,2,12,12,9,4,3,2,0,0
215,P1,26/02/18,Sp Lisbon,Moreirense,1,0,H,0,0,D,13,8,7,3,15,17,4,5,5,4,2,0
216,P1,02/03/18,Porto,Sp Lisbon,2,1,H,1,1,D,8,11,3,5,23,10,7,9,2,2,0,0
217,P1,03/03/18,Benfica,Maritimo,5,0,H,4,0,H,14,4,7,1,10,17,6,2,1,3,0,1
218,P1,03/03/18,Estoril,Sp Braga,0,6,A,0,3,A,13,10,3,6,14,19,5,4,3,1,0,0
219,P1,03/03/18,Feirense,Boavista,3,0,H,1,0,H,14,6,8,5,21,20,7,8,1,2,0,0
220,P1,04/03/18,Guimaraes,Belenenses,0,0,D,0,0,D,10,6,6,3,17,21,4,5,3,2,0,0
221,P1,04/03/18,Moreirense,Pacos Ferreira,2,0,H,1,0,H,10,7,7,6,15,21,12,7,4,3,0,0
222,P1,04/03/18,Setubal,Rio Ave,1,0,H,0,0,D,7,6,4,2,21,20,5,5,3,2,1,0
223,P1,04/03/18,Tondela,Chaves,2,0,H,1,0,H,9,12,7,5,23,14,4,8,4,3,0,0
224,P1,05/03/18,Aves,Portimonense,3,0,H,1,0,H,11,9,6,2,19,13,3,4,2,3,0,0
225,P1,09/03/18,Sp Braga,Moreirense,3,0,H,1,0,H,12,9,4,0,13,10,4,15,1,2,0,0
226,P1,10/03/18,Benfica,Aves,2,0,H,0,0,D,12,6,7,1,14,16,14,1,2,4,0,0
